X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1IQA,ME1IQA,MI1IQA,MA1IQA,SD1IQA,LATITUDE,LONGITUDE
-47.6781,-23.0866999993187,185,TIET02400,SP,CETESB,Rio Tietê,1,83,29,11,59,8,-23.0867,-47.6781
-47.3356,-23.2002999993162,186,TIET02350,SP,CETESB,Rio Tietê,1,80,35,19,54,7,-23.2003,-47.3356
-46.1358,-23.5485999993083,187,TIET02090,SP,CETESB,Rio Tietê,1,81,65,24,79,10,-23.5486,-46.1358
-46.0158,-23.5649999993079,188,TIET02050,SP,CETESB,Rio Tietê,1,82,70,40,89,11,-23.565,-46.0158
-46.9114,-23.4574999993103,189,TIES04900,SP,CETESB,Reservatório Edgard de Souza,2,78,17,11,34,4,-23.4575,-46.9114
-48.2517,-22.6780999993281,190,TIBT02500,SP,CETESB,Braço do Rio Tietê,1,84,53,29,79,13,-22.6781,-48.2517
-48.4467,-22.5441999993312,191,TIBB02700,SP,CETESB,Reservatório de Barra Bonita,2,82,75,41,91,11,-22.5442,-48.4467
-48.3478,-22.6127999993296,192,TIBB02100,SP,CETESB,Reservatório de Barra Bonita,2,82,73,24,88,11,-22.6128,-48.3478
-46.4597,-23.3771999993122,193,TGDE00900,SP,CETESB,Reservatório de Tanque Grande,2,83,76,58,91,7,-23.3772,-46.4597
-55.70542,-12.5351099995997,194,TEN095,MT,SEMA,Rio Tenente Lira,1,29,72,59,79,5,-12.53511,-55.70542
-47.3581,-21.9416999993454,195,TELA02900,SP,CETESB,Córrego Batistela,1,58,60,21,78,11,-21.9417,-47.3581
-47.3664,-21.9532999993451,196,TELA02700,SP,CETESB,Córrego Batistela,1,45,58,23,81,10,-21.9533,-47.3664
-55.30578,-11.0944699996432,197,TEL806,MT,SEMA,Rio Teles Pires,1,28,76,64,84,4,-11.09447,-55.30578
-55.70389,-11.6531099996263,198,TEL715,MT,SEMA,Rio Teles Pires,1,28,78,61,93,6,-11.65311,-55.70389
-55.65614,-11.893859999619,199,TEL657,MT,SEMA,Rio Teles Pires,1,29,78,70,86,5,-11.89386,-55.65614
-55.79397,-12.6738599995956,200,TEL518,MT,SEMA,Rio Teles Pires,1,29,76,67,83,5,-12.67386,-55.79397
-55.26811,-13.5586699995694,201,TEL328,MT,SEMA,Rio Teles Pires,1,29,79,68,89,5,-13.55867,-55.26811
-56.01453,-9.6392499996881,202,TEL1134,MT,SEMA,Rio Teles Pires,1,27,79,62,93,8,-9.63925,-56.01453
-55.57006,-10.1129999996734,203,TEL1043,MT,SEMA,Rio Teles Pires,1,27,79,61,89,6,-10.113,-55.57006
-55.80761,-10.2384199996695,204,TEL1004,MT,SEMA,Rio Teles Pires,1,28,79,61,88,6,-10.23842,-55.80761
-54.64703,-14.6312199995383,205,TEL051,MT,SEMA,Rio Teles Pires,1,28,76,65,92,6,-14.63122,-54.64703
-49.9011,-22.0610999993426,206,TBIR03300,SP,CETESB,Rio Tibiriçá,1,52,49,15,65,9,-22.0611,-49.9011
-37.82581,-7.55838999975359,207,TB54,PB,SUDEMA,Açude Timbauba (Juru),2,13,73,47,88,14,-7.55839,-37.82581
-45.07861,-23.4449999993106,208,TAVE02950,SP,CETESB,Rio Lagoa ou Tavares,1,46,63,38,84,10,-23.445,-45.07861
-47.78278,-23.3236099993133,209,TAUI04900,SP,CETESB,Rio Tatuí,1,60,38,13,51,8,-23.32361,-47.78278
-47.3525,-22.6599999993285,210,TATU04850,SP,CETESB,Ribeirão Tatu,1,57,22,11,45,10,-22.66,-47.3525
-48.9172,-23.9741999992988,211,TAQR02400,SP,CETESB,Rio Taquari,1,83,62,37,78,10,-23.9742,-48.9172
-46.6322,-23.5266999993088,212,TAMT04900,SP,CETESB,Rio Tamanduateí,1,78,16,11,37,5,-23.5267,-46.6322
-46.5442,-23.6105999993069,214,TAMT04500,SP,CETESB,Rio Tamanduateí,1,75,16,12,37,5,-23.6106,-46.5442
-46.32139,-23.6344399993063,215,TAIM00800,SP,CETESB,Rio Taiaçupeba mirim,1,33,44,25,56,6,-23.63444,-46.32139
-46.29083,-23.5716699993078,216,TAIA02800,SP,CETESB,Reservatório Taiaçupeba,2,26,80,66,87,5,-23.57167,-46.29083
-45.27389,-23.5736099993077,217,TABA02900,SP,CETESB,Rio Tabatinga,1,35,56,43,72,7,-23.57361,-45.27389
-51.5767,-22.1505999993404,221,STAN04400,SP,CETESB,Rio Santo Anastácio,1,64,32,9,63,16,-22.1506,-51.5767
-51.8908,-22.0235999993434,222,STAN02700,SP,CETESB,Rio Santo Anastácio,1,83,52,12,74,13,-22.0236,-51.8908
-35.19028,-7.08518999976873,223,SS66,PB,SUDEMA,Açude São Salvador (Sapé),2,15,69,41,79,12,-7.08519,-35.19028
-47.8197,-23.0227999993202,226,SORO02900,SP,CETESB,Rio Sorocaba,1,82,57,29,75,9,-23.0228,-47.8197
-47.7964,-23.1724999993168,227,SORO02700,SP,CETESB,Rio Sorocaba,1,82,56,38,69,7,-23.1725,-47.7964
-47.7783,-23.3199999993134,228,SORO02500,SP,CETESB,Rio Sorocaba,1,60,64,44,75,7,-23.32,-47.7783
-47.48,-23.4082999993114,229,SORO02200,SP,CETESB,Rio Sorocaba,1,81,37,23,50,6,-23.4083,-47.48
-47.4439,-23.4782999993098,230,SORO02100,SP,CETESB,Rio Sorocaba,1,82,38,17,55,10,-23.4783,-47.4439
